Lookup,Yr,Org4Code,DistName,Expr1,FTEPupils,Value(FTEPupils)
00632016FTEIn,2016,0063,Clarksburg,FTEIn,163.7,163.7
00632016FTEOut,2016,0063,Clarksburg,FTEOut,49.1,49.1
00632016FTEs,2016,0063,Clarksburg,FTEs,212.8,212.8
00642016FTEIn,2016,0064,Clinton,FTEIn,"1,843.8","1,843.8"
00642016FTEOut,2016,0064,Clinton,FTEOut,324.7,324.7
00642016FTEs,2016,0064,Clinton,FTEs,"2,168.5","2,168.5"
00652016FTEIn,2016,0065,Cohasset,FTEIn,"1,643.0","1,643.0"
00652016FTEOut,2016,0065,Cohasset,FTEOut,21.4,21.4
00652016FTEs,2016,0065,Cohasset,FTEs,"1,664.4","1,664.4"
00672016FTEIn,2016,0067,Concord,FTEIn,"2,077.3","2,077.3"
00672016FTEOut,2016,0067,Concord,FTEOut,37.1,37.1
00672016FTEs,2016,0067,Concord,FTEs,"2,114.4","2,114.4"
00682016FTEIn,2016,0068,Conway,FTEIn,151.9,151.9
00682016FTEOut,2016,0068,Conway,FTEOut,15.5,15.5
00682016FTEs,2016,0068,Conway,FTEs,167.4,167.4
00712016FTEIn,2016,0071,Danvers,FTEIn,"3,571.5","3,571.5"
00712016FTEOut,2016,0071,Danvers,FTEOut,114.9,114.9
00712016FTEs,2016,0071,Danvers,FTEs,"3,686.4","3,686.4"
00722016FTEIn,2016,0072,Dartmouth,FTEIn,"3,665.5","3,665.5"
00722016FTEOut,2016,0072,Dartmouth,FTEOut,72.2,72.2
00722016FTEs,2016,0072,Dartmouth,FTEs,"3,737.7","3,737.7"
00732016FTEIn,2016,0073,Dedham,FTEIn,"2,696.6","2,696.6"
00732016FTEOut,2016,0073,Dedham,FTEOut,92.7,92.7
00732016FTEs,2016,0073,Dedham,FTEs,"2,789.3","2,789.3"
00742016FTEIn,2016,0074,Deerfield,FTEIn,398.8,398.8
00742016FTEOut,2016,0074,Deerfield,FTEOut,31.4,31.4
00742016FTEs,2016,0074,Deerfield,FTEs,430.2,430.2
00772016FTEIn,2016,0077,Douglas,FTEIn,"1,443.2","1,443.2"
00772016FTEOut,2016,0077,Douglas,FTEOut,68.1,68.1
00772016FTEs,2016,0077,Douglas,FTEs,"1,511.3","1,511.3"
00782016FTEIn,2016,0078,Dover,FTEIn,480.6,480.6
00782016FTEOut,2016,0078,Dover,FTEOut,11.5,11.5
00782016FTEs,2016,0078,Dover,FTEs,492.1,492.1
00792016FTEIn,2016,0079,Dracut,FTEIn,"3,591.7","3,591.7"
00792016FTEOut,2016,0079,Dracut,FTEOut,314.2,314.2
00792016FTEs,2016,0079,Dracut,FTEs,"3,905.9","3,905.9"
00822016FTEIn,2016,0082,Duxbury,FTEIn,"3,169.5","3,169.5"
00822016FTEOut,2016,0082,Duxbury,FTEOut,41.7,41.7
00822016FTEs,2016,0082,Duxbury,FTEs,"3,211.2","3,211.2"
00832016FTEIn,2016,0083,East Bridgewater,FTEIn,"2,290.1","2,290.1"
00832016FTEOut,2016,0083,East Bridgewater,FTEOut,66.2,66.2
00832016FTEs,2016,0083,East Bridgewater,FTEs,"2,356.3","2,356.3"
00852016FTEIn,2016,0085,Eastham,FTEIn,169.7,169.7
00852016FTEOut,2016,0085,Eastham,FTEOut,14.4,14.4
00852016FTEs,2016,0085,Eastham,FTEs,184.1,184.1
00862016FTEIn,2016,0086,Easthampton,FTEIn,"1,534.7","1,534.7"
00862016FTEOut,2016,0086,Easthampton,FTEOut,345.3,345.3
00862016FTEs,2016,0086,Easthampton,FTEs,"1,880.0","1,880.0"
00872016FTEIn,2016,0087,East Longmeadow,FTEIn,"2,638.6","2,638.6"
00872016FTEOut,2016,0087,East Longmeadow,FTEOut,79.9,79.9
00872016FTEs,2016,0087,East Longmeadow,FTEs,"2,718.5","2,718.5"
00882016FTEIn,2016,0088,Easton,FTEIn,"3,705.3","3,705.3"
00882016FTEOut,2016,0088,Easton,FTEOut,73.0,73.0
00882016FTEs,2016,0088,Easton,FTEs,"3,778.3","3,778.3"
00892016FTEIn,2016,0089,Edgartown,FTEIn,358.4,358.4
00892016FTEOut,2016,0089,Edgartown,FTEOut,69.9,69.9
00892016FTEs,2016,0089,Edgartown,FTEs,428.3,428.3
00912016FTEIn,2016,0091,Erving,FTEIn,130.0,130.0
00912016FTEOut,2016,0091,Erving,FTEOut,109.4,109.4
00912016FTEs,2016,0091,Erving,FTEs,239.4,239.4
00932016FTEIn,2016,0093,Everett,FTEIn,"7,083.3","7,083.3"
00932016FTEOut,2016,0093,Everett,FTEOut,680.5,680.5
00932016FTEs,2016,0093,Everett,FTEs,"7,763.8","7,763.8"
00942016FTEIn,2016,0094,Fairhaven,FTEIn,"2,023.8","2,023.8"
00942016FTEOut,2016,0094,Fairhaven,FTEOut,47.5,47.5
00942016FTEs,2016,0094,Fairhaven,FTEs,"2,071.3","2,071.3"
00952016FTEIn,2016,0095,Fall River,FTEIn,"10,116.8","10,116.8"
00952016FTEOut,2016,0095,Fall River,FTEOut,"1,475.9","1,475.9"
00952016FTEs,2016,0095,Fall River,FTEs,"11,592.7","11,592.7"
00962016FTEIn,2016,0096,Falmouth,FTEIn,"3,518.9","3,518.9"
00962016FTEOut,2016,0096,Falmouth,FTEOut,159.6,159.6
00962016FTEs,2016,0096,Falmouth,FTEs,"3,678.5","3,678.5"
00972016FTEIn,2016,0097,Fitchburg,FTEIn,"5,070.2","5,070.2"
00972016FTEOut,2016,0097,Fitchburg,FTEOut,741.5,741.5
00972016FTEs,2016,0097,Fitchburg,FTEs,"5,811.7","5,811.7"
00982016FTEIn,2016,0098,Florida,FTEIn,83.2,83.2
00982016FTEOut,2016,0098,Florida,FTEOut,25.8,25.8
00982016FTEs,2016,0098,Florida,FTEs,109.0,109.0
00992016FTEIn,2016,0099,Foxborough,FTEIn,"2,604.0","2,604.0"
00992016FTEOut,2016,0099,Foxborough,FTEOut,142.4,142.4
00992016FTEs,2016,0099,Foxborough,FTEs,"2,746.4","2,746.4"
01002016FTEIn,2016,0100,Framingham,FTEIn,"8,545.4","8,545.4"
01002016FTEOut,2016,0100,Framingham,FTEOut,684.0,684.0
01002016FTEs,2016,0100,Framingham,FTEs,"9,229.4","9,229.4"
01012016FTEIn,2016,0101,Franklin,FTEIn,"5,443.2","5,443.2"
01012016FTEOut,2016,0101,Franklin,FTEOut,505.1,505.1
01012016FTEs,2016,0101,Franklin,FTEs,"5,948.3","5,948.3"
01032016FTEIn,2016,0103,Gardner,FTEIn,"2,398.5","2,398.5"
01032016FTEOut,2016,0103,Gardner,FTEOut,290.2,290.2
01032016FTEs,2016,0103,Gardner,FTEs,"2,688.7","2,688.7"
01052016FTEIn,2016,0105,Georgetown,FTEIn,"1,454.3","1,454.3"
01052016FTEOut,2016,0105,Georgetown,FTEOut,44.9,44.9
01052016FTEs,2016,0105,Georgetown,FTEs,"1,499.2","1,499.2"
01072016FTEIn,2016,0107,Gloucester,FTEIn,"2,895.3","2,895.3"
01072016FTEOut,2016,0107,Gloucester,FTEOut,368.4,368.4
01072016FTEs,2016,0107,Gloucester,FTEs,"3,263.7","3,263.7"
01102016FTEIn,2016,0110,Grafton,FTEIn,"3,173.4","3,173.4"
01102016FTEOut,2016,0110,Grafton,FTEOut,132.8,132.8
01102016FTEs,2016,0110,Grafton,FTEs,"3,306.2","3,306.2"
01112016FTEIn,2016,0111,Granby,FTEIn,811.5,811.5
01112016FTEOut,2016,0111,Granby,FTEOut,95.0,95.0
01112016FTEs,2016,0111,Granby,FTEs,906.5,906.5
01142016FTEIn,2016,0114,Greenfield,FTEIn,"1,617.8","1,617.8"
01142016FTEOut,2016,0114,Greenfield,FTEOut,460.1,460.1
01142016FTEs,2016,0114,Greenfield,FTEs,"2,077.9","2,077.9"
01172016FTEIn,2016,0117,Hadley,FTEIn,616.5,616.5
01172016FTEOut,2016,0117,Hadley,FTEOut,118.9,118.9
01172016FTEs,2016,0117,Hadley,FTEs,735.4,735.4
01182016FTEIn,2016,0118,Halifax,FTEIn,543.4,543.4
01182016FTEOut,2016,0118,Halifax,FTEOut,35.7,35.7
01182016FTEs,2016,0118,Halifax,FTEs,579.1,579.1
01212016FTEIn,2016,0121,Hancock,FTEIn,41.9,41.9
01212016FTEOut,2016,0121,Hancock,FTEOut,40.1,40.1
01212016FTEs,2016,0121,Hancock,FTEs,82.0,82.0
01222016FTEIn,2016,0122,Hanover,FTEIn,"2,612.5","2,612.5"
01222016FTEOut,2016,0122,Hanover,FTEOut,57.9,57.9
01222016FTEs,2016,0122,Hanover,FTEs,"2,670.4","2,670.4"
01252016FTEIn,2016,0125,Harvard,FTEIn,"1,140.9","1,140.9"
01252016FTEOut,2016,0125,Harvard,FTEOut,48.1,48.1
01252016FTEs,2016,0125,Harvard,FTEs,"1,189.0","1,189.0"
01272016FTEIn,2016,0127,Hatfield,FTEIn,441.7,441.7
01272016FTEOut,2016,0127,Hatfield,FTEOut,60.8,60.8
